eventID,measurementID,measurementType,measurementValue,measurementUnit,measurementDeterminedDate,measurementDeterminedBy,measurementMethod,measurementRemarks
LiloanMPA:T08:2016-07:benthic,LiloanMPA:T08:2016-07:benthic:CB,Branching Coral,24.75,percent,2016-07,Eukene Bensig | Brisneve Edullantes |  Volunteers,Point Intercept Transect (PIT) method,
LiloanMPA:T08:2016-07:benthic,LiloanMPA:T08:2016-07:benthic:CM,Massive Coral,8.91,percent,2016-07,Eukene Bensig | Brisneve Edullantes |  Volunteers,Point Intercept Transect (PIT) method,
LiloanMPA:T08:2016-07:benthic,LiloanMPA:T08:2016-07:benthic:CMR,Coral Mushroom,1.98,percent,2016-07,Eukene Bensig | Brisneve Edullantes |  Volunteers,Point Intercept Transect (PIT) method,
LiloanMPA:T08:2016-07:benthic,LiloanMPA:T08:2016-07:benthic:CSM,Submassive Coral,4.95,percent,2016-07,Eukene Bensig | Brisneve Edullantes |  Volunteers,Point Intercept Transect (PIT) method,
LiloanMPA:T08:2016-07:benthic,LiloanMPA:T08:2016-07:benthic:DC,Dead Coral,17.82,percent,2016-07,Eukene Bensig | Brisneve Edullantes |  Volunteers,Point Intercept Transect (PIT) method,
LiloanMPA:T08:2016-07:benthic,LiloanMPA:T08:2016-07:benthic:DCA,Dead Coral with Algae,4.95,percent,2016-07,Eukene Bensig | Brisneve Edullantes |  Volunteers,Point Intercept Transect (PIT) method,
LiloanMPA:T08:2016-07:benthic,LiloanMPA:T08:2016-07:benthic:R,Rubble,19.80,percent,2016-07,Eukene Bensig | Brisneve Edullantes |  Volunteers,Point Intercept Transect (PIT) method,
LiloanMPA:T08:2016-07:benthic,LiloanMPA:T08:2016-07:benthic:SA,Sand,14.85,percent,2016-07,Eukene Bensig | Brisneve Edullantes |  Volunteers,Point Intercept Transect (PIT) method,
LiloanMPA:T08:2016-07:benthic,LiloanMPA:T08:2016-07:benthic:UN,Unknown,0.99,percent,2016-07,Eukene Bensig | Brisneve Edullantes |  Volunteers,Point Intercept Transect (PIT) method,
LiloanMPA:T09:2016-07:benthic,LiloanMPA:T09:2016-07:benthic:CB,Branching Coral,29.70,percent,2016-07,Eukene Bensig | Brisneve Edullantes |  Volunteers,Point Intercept Transect (PIT) method,
LiloanMPA:T09:2016-07:benthic,LiloanMPA:T09:2016-07:benthic:CM,Massive Coral,0.99,percent,2016-07,Eukene Bensig | Brisneve Edullantes |  Volunteers,Point Intercept Transect (PIT) method,
LiloanMPA:T09:2016-07:benthic,LiloanMPA:T09:2016-07:benthic:CMR,Coral Mushroom,0.99,percent,2016-07,Eukene Bensig | Brisneve Edullantes |  Volunteers,Point Intercept Transect (PIT) method,
LiloanMPA:T09:2016-07:benthic,LiloanMPA:T09:2016-07:benthic:CSM,Submassive Coral,1.98,percent,2016-07,Eukene Bensig | Brisneve Edullantes |  Volunteers,Point Intercept Transect (PIT) method,
LiloanMPA:T09:2016-07:benthic,LiloanMPA:T09:2016-07:benthic:DC,Dead Coral,27.72,percent,2016-07,Eukene Bensig | Brisneve Edullantes |  Volunteers,Point Intercept Transect (PIT) method,
LiloanMPA:T09:2016-07:benthic,LiloanMPA:T09:2016-07:benthic:DCA,Dead Coral with Algae,0.99,percent,2016-07,Eukene Bensig | Brisneve Edullantes |  Volunteers,Point Intercept Transect (PIT) method,
LiloanMPA:T09:2016-07:benthic,LiloanMPA:T09:2016-07:benthic:R,Rubble,22.77,percent,2016-07,Eukene Bensig | Brisneve Edullantes |  Volunteers,Point Intercept Transect (PIT) method,
LiloanMPA:T09:2016-07:benthic,LiloanMPA:T09:2016-07:benthic:SA,Sand,2.97,percent,2016-07,Eukene Bensig | Brisneve Edullantes |  Volunteers,Point Intercept Transect (PIT) method,
LiloanMPA:T09:2016-07:benthic,LiloanMPA:T09:2016-07:benthic:UN,Unknown,11.88,percent,2016-07,Eukene Bensig | Brisneve Edullantes |  Volunteers,Point Intercept Transect (PIT) method,
LiloanMPA:T10:2016-07:benthic,LiloanMPA:T10:2016-07:benthic:CB,Branching Coral,4.95,percent,2016-07,Eukene Bensig | Brisneve Edullantes |  Volunteers,Point Intercept Transect (PIT) method,
LiloanMPA:T10:2016-07:benthic,LiloanMPA:T10:2016-07:benthic:CE,Encrusting Coral,1.98,percent,2016-07,Eukene Bensig | Brisneve Edullantes |  Volunteers,Point Intercept Transect (PIT) method,
LiloanMPA:T10:2016-07:benthic,LiloanMPA:T10:2016-07:benthic:CM,Massive Coral,12.87,percent,2016-07,Eukene Bensig | Brisneve Edullantes |  Volunteers,Point Intercept Transect (PIT) method,
LiloanMPA:T10:2016-07:benthic,LiloanMPA:T10:2016-07:benthic:DC,Dead Coral,33.66,percent,2016-07,Eukene Bensig | Brisneve Edullantes |  Volunteers,Point Intercept Transect (PIT) method,
LiloanMPA:T10:2016-07:benthic,LiloanMPA:T10:2016-07:benthic:DCA,Dead Coral with Algae,5.94,percent,2016-07,Eukene Bensig | Brisneve Edullantes |  Volunteers,Point Intercept Transect (PIT) method,
LiloanMPA:T10:2016-07:benthic,LiloanMPA:T10:2016-07:benthic:R,Rubble,27.72,percent,2016-07,Eukene Bensig | Brisneve Edullantes |  Volunteers,Point Intercept Transect (PIT) method,
LiloanMPA:T10:2016-07:benthic,LiloanMPA:T10:2016-07:benthic:SA,Sand,12.87,percent,2016-07,Eukene Bensig | Brisneve Edullantes |  Volunteers,Point Intercept Transect (PIT) method,
